fitsfile,center_ra,center_dec,radius,overlaps
P214+45_mosaic-blanked.fits,214.57541163893902,44.912816665156264,0.7151562500000002,P210+45_mosaic-blanked.fits;P210+47_mosaic-blanked.fits;P212+42_mosaic-blanked.fits;P213+47_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P216+42_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P218+45_mosaic-blanked.fits
P202+60_mosaic-blanked.fits,202.26416914153765,59.90141666405297,0.77609375,P197+60_mosaic-blanked.fits;P198+57_mosaic-blanked.fits;P200+55_mosaic-blanked.fits;P203+57_mosaic-blanked.fits;P205+55_mosaic-blanked.fits;P207+60_mosaic-blanked.fits
P160+55_mosaic-blanked.fits,160.15427962367733,54.66181666452993,0.7937500000000002,P155+52_mosaic-blanked.fits;P155+55_mosaic-blanked.fits;P155+57_mosaic-blanked.fits;P158+50_mosaic-blanked.fits;P159+52_mosaic-blanked.fits;P160+57_mosaic-blanked.fits;P161+60_mosaic-blanked.fits;P164+55_mosaic-blanked.fits;P165+57_mosaic-blanked.fits;P2Hetdex01_mosaic-blanked.fits;P4Hetdex16_mosaic-blanked.fits
P208+57_mosaic-blanked.fits,208.2382261104264,57.424816664295435,0.7326562500000001,P203+57_mosaic-blanked.fits;P205+55_mosaic-blanked.fits;P206+52_mosaic-blanked.fits;P207+60_mosaic-blanked.fits;P209+55_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P212+60_mosaic-blanked.fits;P213+57_mosaic-blanked.fits
P182+55_mosaic-blanked.fits,182.57127752720433,54.77961666452061,0.6704687500000002,P178+55_mosaic-blanked.fits;P179+57_mosaic-blanked.fits;P181+60_mosaic-blanked.fits;P184+57_mosaic-blanked.fits;P187+55_mosaic-blanked.fits;P21_mosaic-blanked.fits;P25Hetdex09_mosaic-blanked.fits
P40Hetdex19_mosaic-blanked.fits,204.37640729147532,45.332816665133954,0.7226562500000001,P1Hetdex15_mosaic-blanked.fits;P202+42_mosaic-blanked.fits;P205+42_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P207+45_mosaic-blanked.fits;P36Hetdex10_mosaic-blanked.fits;P39Hetdex19_mosaic-blanked.fits;P42Hetdex07_mosaic-blanked.fits
P173+55_mosaic-blanked.fits,173.59627836192308,54.732816664524314,0.7003125000000001,P12Hetdex11_mosaic-blanked.fits;P14Hetdex04_mosaic-blanked.fits;P169+55_mosaic-blanked.fits;P169+57_mosaic-blanked.fits;P16Hetdex13_mosaic-blanked.fits;P174+57_mosaic-blanked.fits;P178+55_mosaic-blanked.fits
P42Hetdex07_mosaic-blanked.fits,204.37635514997257,49.748416664877155,0.6356250000000001,P1Hetdex15_mosaic-blanked.fits;P205+55_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P206+52_mosaic-blanked.fits;P38Hetdex07_mosaic-blanked.fits;P39Hetdex19_mosaic-blanked.fits;P40Hetdex19_mosaic-blanked.fits;P5Hetdex41_mosaic-blanked.fits
P142+55_mosaic-blanked.fits,142.26728134387585,54.564516664537614,0.7071875000000001,P140+60_mosaic-blanked.fits;P141+57_mosaic-blanked.fits;P142+50_mosaic-blanked.fits;P143+52_mosaic-blanked.fits;P145+57_mosaic-blanked.fits;P146+55_mosaic-blanked.fits;P147+52_mosaic-blanked.fits
P23Hetdex20_mosaic-blanked.fits,185.2853833361637,47.493116665013716,0.6179687500000001,P184+42_mosaic-blanked.fits;P19Hetdex17_mosaic-blanked.fits;P20Hetdex17_mosaic-blanked.fits;P22Hetdex04_mosaic-blanked.fits;P24Hetdex20_mosaic-blanked.fits;P25Hetdex09_mosaic-blanked.fits;P26Hetdex03_mosaic-blanked.fits;P27Hetdex09_mosaic-blanked.fits
P214+55_mosaic-blanked.fits,214.06627450899893,54.94771666450718,0.7103125000000001,P209+55_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P212+60_mosaic-blanked.fits;P213+57_mosaic-blanked.fits;P214+52_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P217+57_mosaic-blanked.fits;P218+55_mosaic-blanked.fits;P219+52_mosaic-blanked.fits
P206+52_mosaic-blanked.fits,206.4383171532132,52.3967166646996,0.6748437500000002,P1Hetdex15_mosaic-blanked.fits;P205+55_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P209+55_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P42Hetdex07_mosaic-blanked.fits;P5Hetdex41_mosaic-blanked.fits
P243+60_mosaic-blanked.fits,243.7241631473568,60.139016664027785,0.6628125000000001,P238+60_mosaic-blanked.fits;P241+58_mosaic-blanked.fits;P245+55_mosaic-blanked.fits;P246+58_mosaic-blanked.fits;P248+60_mosaic-blanked.fits
P27Hetdex09_mosaic-blanked.fits,189.5273833361637,47.493116665013716,0.6179687500000001,P188+42_mosaic-blanked.fits;P191+42_mosaic-blanked.fits;P23Hetdex20_mosaic-blanked.fits;P24Hetdex20_mosaic-blanked.fits;P26Hetdex03_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits;P30Hetdex06_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P8Hetdex28_mosaic-blanked.fits
P006+36_mosaic-blanked.fits,6.539724955892214,36.00241666556585,0.6764062500000001,P004+38_mosaic-blanked.fits;P007+39_mosaic-blanked.fits
P156+45_mosaic-blanked.fits,156.23941478402148,44.6031166651725,0.7431250000000001,P152+45_mosaic-blanked.fits;P152+47_mosaic-blanked.fits;P153+42_mosaic-blanked.fits;P154+50_mosaic-blanked.fits;P156+42_mosaic-blanked.fits;P156+47_mosaic-blanked.fits;P158+50_mosaic-blanked.fits;P159+45_mosaic-blanked.fits;P160+42_mosaic-blanked.fits;P160+47_mosaic-blanked.fits
P004+38_mosaic-blanked.fits,4.253617648266963,38.492416665461896,0.7492187500000002,P000+38_mosaic-blanked.fits;P006+36_mosaic-blanked.fits;P007+39_mosaic-blanked.fits
P179+57_mosaic-blanked.fits,179.4382293182332,57.272316664309294,0.6565625000000002,P174+57_mosaic-blanked.fits;P176+60_mosaic-blanked.fits;P178+55_mosaic-blanked.fits;P181+60_mosaic-blanked.fits;P182+55_mosaic-blanked.fits;P184+57_mosaic-blanked.fits
P207+60_mosaic-blanked.fits,207.43116844286848,59.92931666405003,0.7448437500000001,P202+60_mosaic-blanked.fits;P203+57_mosaic-blanked.fits;P205+55_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P209+55_mosaic-blanked.fits;P212+60_mosaic-blanked.fits
P33Hetdex08_mosaic-blanked.fits,193.77032136221771,52.122516664718965,0.6568750000000001,P191+55_mosaic-blanked.fits;P193+57_mosaic-blanked.fits;P196+55_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits;P30Hetdex06_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P34Hetdex06_mosaic-blanked.fits;P37Hetdex15_mosaic-blanked.fits
P223+42_mosaic-blanked.fits,223.32743528627302,42.45251666528073,0.6446875000000001,P219+42_mosaic-blanked.fits;P221+45_mosaic-blanked.fits;P221+47_mosaic-blanked.fits;P225+45_mosaic-blanked.fits;P225+47_mosaic-blanked.fits;P226+42_mosaic-blanked.fits
P222+60_mosaic-blanked.fits,222.95716627304017,60.0156166640409,0.7378125000000002,P217+57_mosaic-blanked.fits;P217+60_mosaic-blanked.fits;P222+58_mosaic-blanked.fits;P223+55_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P228+60_mosaic-blanked.fits
