fitsfile,center_ra,center_dec,radius,overlaps
P219+42_mosaic-blanked.fits,219.81943546651004,42.43251666528168,2.5287453493550167,P216+42_mosaic-blanked.fits;P218+45_mosaic-blanked.fits;P221+45_mosaic-blanked.fits;P221+47_mosaic-blanked.fits;P223+42_mosaic-blanked.fits
P214+55_mosaic-blanked.fits,214.06627450899893,54.94771666450718,2.8412447659332756,P209+55_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P212+60_mosaic-blanked.fits;P213+57_mosaic-blanked.fits;P214+52_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P217+57_mosaic-blanked.fits;P218+55_mosaic-blanked.fits;P219+52_mosaic-blanked.fits
P176+60_mosaic-blanked.fits,176.49517251778278,59.76581666406717,2.651247864544835,P171+60_mosaic-blanked.fits;P174+57_mosaic-blanked.fits;P178+55_mosaic-blanked.fits;P179+57_mosaic-blanked.fits;P181+60_mosaic-blanked.fits
P210+47_mosaic-blanked.fits,210.0273844547036,47.397616665019235,2.758744890275594,P1Hetdex15_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P207+45_mosaic-blanked.fits;P209+42_mosaic-blanked.fits;P210+45_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P213+47_mosaic-blanked.fits;P214+45_mosaic-blanked.fits;P215+50_mosaic-blanked.fits
P146+50_mosaic-blanked.fits,146.90435748611614,49.571816664888296,3.010619309221394,P142+50_mosaic-blanked.fits;P143+52_mosaic-blanked.fits;P145+45_mosaic-blanked.fits;P145+47_mosaic-blanked.fits;P146+55_mosaic-blanked.fits;P147+52_mosaic-blanked.fits;P148+45_mosaic-blanked.fits;P149+47_mosaic-blanked.fits;P150+50_mosaic-blanked.fits
P25Hetdex09_mosaic-blanked.fits,185.28532136221773,52.122516664718965,2.681870262565607,P182+55_mosaic-blanked.fits;P187+55_mosaic-blanked.fits;P21_mosaic-blanked.fits;P22Hetdex04_mosaic-blanked.fits;P23Hetdex20_mosaic-blanked.fits;P26Hetdex03_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits
P023+29_mosaic-blanked.fits,23.26712534961235,28.61721666584008,2.462208820195763,P027+31_mosaic-blanked.fits
P236+55_mosaic-blanked.fits,236.64627215139328,55.077816664496716,2.9731189966347857,P231+53_mosaic-blanked.fits;P232+55_mosaic-blanked.fits;P232+58_mosaic-blanked.fits;P235+50_mosaic-blanked.fits;P236+53_mosaic-blanked.fits;P237+58_mosaic-blanked.fits;P238+60_mosaic-blanked.fits;P239+50_mosaic-blanked.fits;P240+53_mosaic-blanked.fits;P241+55_mosaic-blanked.fits
P235+50_mosaic-blanked.fits,235.17035110236026,50.05031666485791,2.764371333525869,P231+50_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+45_mosaic-blanked.fits;P232+55_mosaic-blanked.fits;P233+48_mosaic-blanked.fits;P236+45_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P236+53_mosaic-blanked.fits;P236+55_mosaic-blanked.fits;P239+50_mosaic-blanked.fits
P215+50_mosaic-blanked.fits,215.03335266436767,49.934416664865324,3.128747178458031,P210+47_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P213+47_mosaic-blanked.fits;P214+45_mosaic-blanked.fits;P214+52_mosaic-blanked.fits;P214+55_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P218+45_mosaic-blanked.fits;P219+50_mosaic-blanked.fits;P219+52_mosaic-blanked.fits
P12Hetdex11_mosaic-blanked.fits,172.55732136221772,52.122516664718965,2.846869061896296,P10Hetdex_mosaic-blanked.fits;P11Hetdex12_mosaic-blanked.fits;P14Hetdex04_mosaic-blanked.fits;P169+55_mosaic-blanked.fits;P16Hetdex13_mosaic-blanked.fits;P173+55_mosaic-blanked.fits;P174+57_mosaic-blanked.fits;P8Hetdex_mosaic-blanked.fits
P013+26_mosaic-blanked.fits,13.309636331689267,26.021316665927067,2.6812431747871193,
P218+55_mosaic-blanked.fits,218.5762740556306,54.97281666450517,2.9387443890793494,P214+52_mosaic-blanked.fits;P214+55_mosaic-blanked.fits;P217+57_mosaic-blanked.fits;P217+60_mosaic-blanked.fits;P219+50_mosaic-blanked.fits;P219+52_mosaic-blanked.fits;P222+58_mosaic-blanked.fits;P223+52_mosaic-blanked.fits;P223+55_mosaic-blanked.fits
P229+48_mosaic-blanked.fits,229.17138319285527,47.50531666501301,3.0699969968461875,P225+45_mosaic-blanked.fits;P225+47_mosaic-blanked.fits;P226+42_mosaic-blanked.fits;P227+50_mosaic-blanked.fits;P227+53_mosaic-blanked.fits;P229+45_mosaic-blanked.fits;P230+42_mosaic-blanked.fits;P231+50_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+45_mosaic-blanked.fits;P233+48_mosaic-blanked.fits
P38Hetdex07_mosaic-blanked.fits,200.13335514997254,49.748416664877155,2.363744136918275,P34Hetdex06_mosaic-blanked.fits;P35Hetdex10_mosaic-blanked.fits;P36Hetdex10_mosaic-blanked.fits;P37Hetdex15_mosaic-blanked.fits;P39Hetdex19_mosaic-blanked.fits;P42Hetdex07_mosaic-blanked.fits;P5Hetdex41_mosaic-blanked.fits
P21_mosaic-blanked.fits,181.04232136221773,52.122516664718965,2.731868755233985,P16Hetdex13_mosaic-blanked.fits;P178+55_mosaic-blanked.fits;P182+55_mosaic-blanked.fits;P18Hetdex03_mosaic-blanked.fits;P19Hetdex17_mosaic-blanked.fits;P22Hetdex04_mosaic-blanked.fits;P25Hetdex09_mosaic-blanked.fits
P165+57_mosaic-blanked.fits,165.08323089036247,57.19701666431609,2.8956208288786924,P160+55_mosaic-blanked.fits;P160+57_mosaic-blanked.fits;P161+60_mosaic-blanked.fits;P164+55_mosaic-blanked.fits;P166+60_mosaic-blanked.fits;P169+55_mosaic-blanked.fits;P169+57_mosaic-blanked.fits;P4Hetdex16_mosaic-blanked.fits
P186+60_mosaic-blanked.fits,186.79017117959702,59.819716664061524,2.871871821494974,P181+60_mosaic-blanked.fits;P184+57_mosaic-blanked.fits;P187+55_mosaic-blanked.fits;P189+57_mosaic-blanked.fits;P191+60_mosaic-blanked.fits
P232+58_mosaic-blanked.fits,232.33022321602448,57.56111666428294,2.9731189966347857,P227+55_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P228+60_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+55_mosaic-blanked.fits;P233+60_mosaic-blanked.fits;P236+55_mosaic-blanked.fits;P237+58_mosaic-blanked.fits
P228+60_mosaic-blanked.fits,228.1421655207102,60.04541666403776,2.843121292285078,P222+58_mosaic-blanked.fits;P222+60_mosaic-blanked.fits;P227+55_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P232+58_mosaic-blanked.fits;P233+60_mosaic-blanked.fits
P231+53_mosaic-blanked.fits,231.94031491862847,52.540516664689356,3.075620354409729,P227+50_mosaic-blanked.fits;P227+53_mosaic-blanked.fits;P227+55_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P231+50_mosaic-blanked.fits;P232+55_mosaic-blanked.fits;P232+58_mosaic-blanked.fits;P233+48_mosaic-blanked.fits;P235+50_mosaic-blanked.fits;P236+53_mosaic-blanked.fits;P236+55_mosaic-blanked.fits
P178+55_mosaic-blanked.fits,178.08427794664874,54.75611666452247,2.731868755233985,P16Hetdex13_mosaic-blanked.fits;P173+55_mosaic-blanked.fits;P174+57_mosaic-blanked.fits;P176+60_mosaic-blanked.fits;P179+57_mosaic-blanked.fits;P182+55_mosaic-blanked.fits;P18Hetdex03_mosaic-blanked.fits;P21_mosaic-blanked.fits
P210+52_mosaic-blanked.fits,210.6833167955232,52.419816664697954,2.954048280927783,P206+50_mosaic-blanked.fits;P206+52_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P209+55_mosaic-blanked.fits;P210+47_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P213+57_mosaic-blanked.fits;P214+52_mosaic-blanked.fits;P214+55_mosaic-blanked.fits;P215+50_mosaic-blanked.fits
P166+60_mosaic-blanked.fits,166.21617385092438,59.71191666407277,2.7043746045934722,P161+60_mosaic-blanked.fits;P164+55_mosaic-blanked.fits;P165+57_mosaic-blanked.fits;P169+57_mosaic-blanked.fits;P171+60_mosaic-blanked.fits
P233+48_mosaic-blanked.fits,233.00538292713227,47.527916665011695,3.00437059850611,P229+45_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P231+50_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+45_mosaic-blanked.fits;P233+43_mosaic-blanked.fits;P235+50_mosaic-blanked.fits;P236+45_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P236+53_mosaic-blanked.fits
P004+38_mosaic-blanked.fits,4.253617648266963,38.492416665461896,2.9968707300483897,P000+38_mosaic-blanked.fits;P006+36_mosaic-blanked.fits;P007+39_mosaic-blanked.fits
P243+60_mosaic-blanked.fits,243.7241631473568,60.139016664027785,2.651247864544835,P238+60_mosaic-blanked.fits;P241+58_mosaic-blanked.fits;P245+55_mosaic-blanked.fits;P246+58_mosaic-blanked.fits;P248+60_mosaic-blanked.fits
P205+55_mosaic-blanked.fits,205.05427539382984,54.898616664511124,2.7912455327998105,P200+55_mosaic-blanked.fits;P202+60_mosaic-blanked.fits;P203+57_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P206+52_mosaic-blanked.fits;P207+60_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P209+55_mosaic-blanked.fits;P42Hetdex07_mosaic-blanked.fits;P5Hetdex41_mosaic-blanked.fits
P209+55_mosaic-blanked.fits,209.55927495445403,54.92301666450917,2.7481205432920017,P205+55_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P206+52_mosaic-blanked.fits;P207+60_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P210+52_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P213+57_mosaic-blanked.fits;P214+55_mosaic-blanked.fits
