label,total_pixels,x_pixels,y_pixels,integrated_intensity,brightest_pixel,brightest_pixel_x,brightest_pixel_y,brightest_pixel_RA,brightest_pixel_DEC,center_of_mass_x,center_of_mass_y,center_of_mass_RA,center_of_mass_DEC,center_of_gaus_fit_x,center_of_gaus_fit_y,center_of_gaus_fit_RA,center_of_gaus_fit_DEC,fit_x_axis,fit_y_axis,fit_theta,deconv_x,deconv_y,integrated_intensity_fit,ratio_residual,mosaic,comp

P219+42_7533,70,9,10,2.7783333185104704,0.0030073662009343165,7209,3903,218.03561652492192,42.359081172296726,7208.811120752646,3902.335552057096,218.03573089567826,42.358806033634096,7208.842306583281,3902.450105755931,218.0357119546581,42.35885348080117,1.9858845902727789,1.8218432197767749,-0.054129367846050526,2.422545111878743,1.5508284806741826,2.780752488144917,0.035452502115008236,P219+42,7533
P216+42_1267,27,8,12,0.4385030818938942,0.0004989019678641604,968,3919,218.0354975127972,42.35870830677359,970.9868968825971,3919.252142706736,218.03381609438702,42.35883852590342,970.3215369499285,3918.7331691771815,218.03418537373383,42.35861672382926,6.854990844218191,0.7483908079091,0.657476368595231,15.638825910559248,0.0,0.4598580065126394,0.1440864968727142,P216+42,1267
P219+42_7698,37,6,8,0.6497593708331242,0.0007409068626350964,7443,2263,217.92414926577308,41.673771776405616,7444.382081521693,2262.4393915979795,217.9233851407964,41.673525364696815,7444.294747726851,2262.430695891561,217.9234339675024,41.67352255495128,1.905147746903249,2.001231289955113,-0.9667788656201686,2.0314303246602794,2.4915916740047344,0.662972765559942,0.07187116275056205,P219+42,7698
P216+42_1414,16,5,5,0.23012190793636056,0.00043301970175268253,1135,2271,217.92386935835458,41.67351458443984,1135.2180212941626,2270.9775810424617,217.92374750182196,41.673506963692176,1135.2455036054782,2270.9930980729864,217.9237323323352,41.673513645270965,1.2720826751205,1.7206870242042949,0.1944145583857346,0.0,0.6464989077658645,0.23757551332654336,0.18218655400745584,P216+42,1414
P219+42_3816,77,12,9,1.6242164342209597,0.0011449009522717735,3774,6508,219.97555954183645,43.458301440391296,3771.1858850943877,6510.466755258293,219.97717757198777,43.45932725887191,3771.077449552704,6510.623871605075,219.9772399874785,43.45939265076771,2.1706953578583983,2.882605206677065,0.3467282103495844,3.182518386513933,5.4842655215630804,1.639063633186251,0.08565087804406113,P219+42,3816
P218+45_1097,17,5,5,0.2336388245688356,0.00042262219358483007,1651,1177,219.97482391673424,43.45759759241682,1650.9267190144333,1177.1813268784806,219.97486815888408,43.4576724974837,1650.911415646032,1177.3040295132546,219.9748784167596,43.457723492077214,1.2570306684449115,1.9619409762336228,0.1973947684777488,0.0,2.311831686664299,0.24067206769265195,0.14949501453337125,P218+45,1097
P219+42_4109,29,5,7,0.3958400994131789,0.00047020599357332834,4008,6999,219.8413110223025,43.66302608564702,4008.537883058444,6998.825812228322,219.84100119048438,43.66295354650807,4008.305554760304,6998.716277598645,219.84113498920982,43.66290787252534,2.3492582772675847,2.0112835601935224,-3.679028550732525,3.821506831375911,2.536078302573848,0.4009695348141841,0.08139671373197281,P219+42,4109
P218+45_1290,33,6,7,0.6614947626644476,0.0008299486110315466,1893,1664,219.84131833279326,43.66261327476615,1894.0321649502189,1663.4244869668191,219.84071740766768,43.66238199224836,1894.045682782298,1663.4148522671537,219.84070951422362,43.662378089233464,2.221454896653789,1.524539204661909,0.3973369113975699,3.3711547970787614,0.0,0.6767581737135365,0.06002740139916993,P218+45,1290
P219+42_5716,28,6,6,0.38356578867245256,0.0004929782200719056,5225,7529,219.13784261022099,43.88194656382875,5224.164403546847,7529.765212866862,219.1383220095062,43.88226829088109,5223.950859932944,7530.018498033341,219.13844424952973,43.882374571116266,2.194223082990078,1.7908673582474377,-0.6817463623237722,3.2707635435237896,1.3358614403624876,0.3902820014338632,0.1014135115767547,P219+42,5716
